candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd_q005,sfrd_q010,sfrd_q015,sfrd_q020,sfrd_q025,sfrd_q030,sfrd_q035,sfrd_q040,sfrd_q045,sfrd_q050
timesnet_classification_uea_el1_dm8_df16_tk2_nk8_0018,timesnet_classification_uea_el1_dm8_df16_tk2_nk8_0018,TimesNet,classification,UEA,5,success,,0.9423860073089599,0.8301338434219361,0.7656066298484803,0.7332924246788025,0.7041845560073853,0.678010094165802,0.6451390862464905,0.6119622349739074,0.573110294342041,0.5254382312297821
timesnet_classification_uea_el4_dm32_df128_tk8_nk6_0019,timesnet_classification_uea_el4_dm32_df128_tk8_nk6_0019,TimesNet,classification,UEA,5,success,,1.3177947282791138,1.145762276649475,1.036057984828949,0.9683819890022278,0.9100756525993348,0.8613280534744263,0.8104520320892334,0.7612063646316528,0.7096053481101989,0.6513676047325134
timesnet_classification_uea_el1_dm16_df64_tk8_nk6_0020,timesnet_classification_uea_el1_dm16_df64_tk8_nk6_0020,TimesNet,classification,UEA,5,success,,1.0984800577163696,0.9359091281890869,0.8411910772323609,0.781103765964508,0.7327946543693542,0.6936018109321594,0.6544820427894592,0.6170037388801575,0.575555419921875,0.529296875
timesnet_classification_uea_el1_dm32_df128_tk4_nk7_0021,timesnet_classification_uea_el1_dm32_df128_tk4_nk7_0021,TimesNet,classification,UEA,5,success,,1.3094805240631104,1.1393712997436523,1.0318684339523316,0.9648208498954773,0.9087005376815795,0.86048663854599,0.809796130657196,0.7615675091743469,0.7096809148788452,0.6514804482460022
timesnet_classification_uea_el2_dm64_df128_tk2_nk3_0022,timesnet_classification_uea_el2_dm64_df128_tk2_nk3_0022,TimesNet,classification,UEA,5,success,,1.225444221496582,1.0578077912330628,0.9519372105598449,0.8891913414001464,0.835217297077179,0.7910386562347412,0.7442521452903748,0.6984894514083863,0.6508449673652649,0.5974857449531555
timesnet_classification_uea_el1_dm32_df64_tk7_nk5_0023,timesnet_classification_uea_el1_dm32_df64_tk7_nk5_0023,TimesNet,classification,UEA,5,success,,1.284300446510315,1.101344919204712,0.9892996668815612,0.9176525115966797,0.8588728189468384,0.8098464012145996,0.7611531376838684,0.71443030834198,0.6654723882675171,0.6110350608825683
timesnet_classification_uea_el3_dm32_df128_tk8_nk5_0024,timesnet_classification_uea_el3_dm32_df128_tk8_nk5_0024,TimesNet,classification,UEA,5,success,,1.2706762552261353,1.0983416080474853,0.9901332855224609,0.9226529479026795,0.8652745008468627,0.8181111574172973,0.7698042511940002,0.7228410720825196,0.6736981272697449,0.6186307191848754
timesnet_classification_uea_el1_dm8_df16_tk5_nk8_0025,timesnet_classification_uea_el1_dm8_df16_tk5_nk8_0025,TimesNet,classification,UEA,5,success,,0.9423860073089599,0.8301338434219361,0.7656066298484803,0.7332924246788025,0.7041845560073853,0.678010094165802,0.6451390862464905,0.6119622349739074,0.573110294342041,0.5254382312297821
timesnet_classification_uea_el3_dm64_df256_tk8_nk5_0026,timesnet_classification_uea_el3_dm64_df256_tk8_nk5_0026,TimesNet,classification,UEA,5,success,,1.3491542339324951,1.1647819995880127,1.0491461038589478,0.9750309228897095,0.9139812588691711,0.8625242471694946,0.8103261590003967,0.7606770157814026,0.7086482763290405,0.6506532073020935
timesnet_classification_uea_el2_dm64_df256_tk4_nk4_0027,timesnet_classification_uea_el2_dm64_df256_tk4_nk4_0027,TimesNet,classification,UEA,5,success,,1.3303826808929444,1.1452492237091065,1.030117106437683,0.957125985622406,0.895874559879303,0.844877278804779,0.7935292720794678,0.7442689657211303,0.6929472088813782,0.6365465879440307
