candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
Autoformer_032,Autoformer_032,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.489992000,43.82276916503906,1.402396178,3.1292040824890135,0.32564905285835266,0.12097960412502289,-33.75494384765625,-192.56141720952178,40.88659591674805,1.2753659963607789,32.617133712768556,0.020928982
Autoformer_033,Autoformer_033,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.604168000,47.20355987548828,2.448650770,3.0459453582763674,0.31159223318099977,0.1175678476691246,-29.91067543029785,-874.7801782409955,60.26612091064453,1.2804734230041503,33.60080261230469,0.267106410
Autoformer_034,Autoformer_034,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.194312000,35.18553924560547,0.898974932,2.917884588241577,0.3162120282649994,0.1187329724431038,-27.229955673217773,-115.14741946767438,40.693824768066406,1.281332778930664,22.453994369506837,0.021982423
Autoformer_035,Autoformer_035,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192000,46.825042724609375,1.989959957,2.909377193450928,0.34499397277832033,0.07312001436948776,-25.940746307373047,-177.66001782628845,45.87613372802734,0.9158412694931031,33.247332382202146,0.033517938
Autoformer_036,Autoformer_036,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432000,52.4485969543457,3.133870489,3.066593647003174,0.4050250589847565,0.11772748678922654,-34.795562744140625,-295.4341573220517,42.798946380615234,1.6503321409225464,47.473974609375,27.452361523
Autoformer_037,Autoformer_037,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432000,52.4485969543457,3.072528561,3.8471458911895753,0.3906618535518646,0.18700283169746398,-50.530433654785156,-436.4149922715639,51.78369903564453,1.9307917833328248,57.29645462036133,566.528127795
Autoformer_038,Autoformer_038,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256000,49.2233772277832,3.450562656,3.967387628555298,0.3272367238998413,0.10471296161413193,-51.64925994873047,-147.88916003519427,43.31608657836914,1.174691867828369,42.18835220336914,0.056814717
Autoformer_039,Autoformer_039,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288000,48.83770751953125,3.072528561,3.184384822845459,0.38252009749412536,0.11619805991649627,15.865556716918945,-157.4342685212402,40.392346954345705,1.608405590057373,44.036956787109375,301.821886464
Autoformer_040,Autoformer_040,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.866312000,50.616947174072266,2.448650770,2.5706074237823486,0.2748501062393188,0.0856507733464241,-17.442486190795897,-385.51299262068204,42.742793273925784,1.1402893781661987,26.418735122680665,0.171857530
Autoformer_041,Autoformer_041,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.052168000,51.76076126098633,3.450562656,3.6141895294189452,0.33079236149787905,0.12225485444068909,-34.6565128326416,-203.13751574670493,42.614244079589845,1.3176712274551392,41.29568939208984,0.059650199
Autoformer_042,Autoformer_042,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.648136000,59.265167236328125,6.124284444,6.84147424697876,0.3524541974067688,0.385362446308136,-161.40369567871093,-220.90791157158347,44.32788162231445,2.107585000991821,99.62025909423828,1.104006246
Autoformer_043,Autoformer_043,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312000,48.44976043701172,2.665742484,2.966072654724121,0.38863837718963623,0.1194187119603157,-26.276473617553712,-122.82732032589362,45.93946304321289,1.202969479560852,39.795928192138675,1.149182464
Autoformer_044,Autoformer_044,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.472584000,43.73970413208008,1.952211069,2.859113883972168,0.3004581868648529,0.09904245138168336,-22.690643310546875,-116.84344613087447,43.8130859375,1.1838293552398682,27.230214309692382,0.042352990
Autoformer_045,Autoformer_045,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.268040000,36.66313934326172,0.898974932,2.58214693069458,0.29380996227264405,0.148905348777771,-21.030463027954102,-231.53063510363776,40.97037811279297,1.2684078216552734,19.149951553344728,0.020734252
Autoformer_046,Autoformer_046,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.938440000,61.915897369384766,5.342140758,3.10845832824707,0.3236285448074341,0.09067137837409973,-30.309036636352538,-977.3037354125215,66.17662811279297,1.3281453847885132,44.85136260986328,1233.398372762
Autoformer_047,Autoformer_047,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.382088000,42.47563171386719,1.830206081,2.808987283706665,0.34449672102928164,0.08584834933280945,-22.22935218811035,-255.1813356221378,36.6406967163086,0.9017632365226745,30.804615020751953,0.154612880
Autoformer_048,Autoformer_048,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272000,64.1078109741211,6.965674393,3.752675676345825,0.39680448174476624,0.11515271961688996,-50.582428741455075,-259.1678295551933,41.006675720214844,1.4551632881164551,68.400927734375,288.653344768
Autoformer_049,Autoformer_049,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.495304000,57.23490524291992,4.475978157,3.007069206237793,0.2989250123500824,0.08766686767339707,-25.51551933288574,-196.17736631016834,41.06856460571289,1.0513307929039002,35.91652297973633,0.061506219
Autoformer_050,Autoformer_050,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312000,48.44976043701172,2.720006488,2.6482833862304687,0.38573131561279295,0.11431798040866852,-23.584249877929686,-663.875101915078,59.32038269042969,1.5267301321029663,35.291080474853516,3.354301440
Autoformer_051,Autoformer_051,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.268424000,38.081844329833984,1.162187181,2.1649359226226808,0.28887195587158204,0.03866467997431755,-19.027965927124022,-344.6908999666019,40.92499923706055,0.7764790534973145,16.967782974243164,0.020376699
Autoformer_052,Autoformer_052,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.194312000,35.18553924560547,0.875971680,1.9111121416091919,0.3524970054626465,0.07041829824447632,-10.920555114746094,-288.3641810251496,49.20033950805664,1.201067852973938,16.62891216278076,0.022446122
Autoformer_053,Autoformer_053,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.804872000,51.97501754760742,3.547734490,1.979017686843872,0.3858000099658966,0.050468795001506805,-12.811519622802734,-1379.3270405594524,57.530965423583986,1.1012595176696778,30.227940368652344,27147.546237338
Autoformer_054,Autoformer_054,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.529544000,45.33251953125,1.738193073,2.5005534648895265,0.4079168915748596,0.09725347608327865,-20.98019485473633,-195.31176810307048,39.030694580078126,1.5742225408554078,34.14067840576172,85.368810701
Autoformer_055,Autoformer_055,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256000,49.2233772277832,3.542575432,4.145903491973877,0.2779354929924011,0.15570857524871826,-50.87314910888672,-512.0361345771423,53.58933944702149,1.6546353816986084,38.302330780029294,0.057153326
Autoformer_056,Autoformer_056,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408000,68.32644653320312,7.785830606,3.877860164642334,0.38881742358207705,0.09396993219852448,-53.747117614746095,-199.11311747008796,35.21226043701172,1.218938422203064,74.8936767578125,13188504.106722917
Autoformer_057,Autoformer_057,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.529544000,45.33251953125,1.784199577,4.53692045211792,0.38512963652610777,0.23218373954296112,-76.70849990844727,-251.67994011862044,38.39610290527344,1.894983696937561,57.60199127197266,7.295113523
Autoformer_058,Autoformer_058,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.342536000,40.86125183105469,1.402396178,2.4196770668029783,0.3125351905822754,0.08827441036701203,-20.297003555297852,-213.85054643502684,40.76332244873047,1.3918508291244507,23.186122512817384,0.022824323
Autoformer_059,Autoformer_059,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272000,64.1078109741211,6.873661617,3.775194025039673,0.40879666805267334,0.1376795932650566,-44.78223648071289,-816.7112007141894,59.43753433227539,1.8855712413787842,71.91912994384765,58192.996755046
Autoformer_060,Autoformer_060,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.307976000,39.89955139160156,1.508600980,1.7264706373214722,0.4123493194580078,0.06138703748583794,-9.432610321044923,-357.0681930050929,50.45093765258789,1.24626624584198,20.781278610229492,1.076165197
Autoformer_061,Autoformer_061,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408000,68.32644653320312,7.785830606,3.5137526512146,0.4148664891719818,0.09502458721399307,-75.27015533447266,-793.1153991908593,45.5179557800293,1.566479539871216,73.55984191894531,78733893.066293254
Autoformer_062,Autoformer_062,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312000,48.44976043701172,2.720006488,2.648283100128174,0.38573134541511533,0.11431794315576553,-23.580273818969726,-663.8690743665944,59.32042007446289,1.5267301797866821,35.2910774230957,3.371136205
Autoformer_063,Autoformer_063,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288000,48.83770751953125,3.072528561,2.237191891670227,0.400979608297348,0.07627901360392571,-16.55452480316162,-575.1642345776121,54.089472961425784,1.3778163194656372,32.790540313720705,433.123780198
Autoformer_064,Autoformer_064,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192000,46.825042724609375,2.027708845,3.0171658039093017,0.3026014804840088,0.1024540051817894,-31.483494186401366,-982.7213210994148,53.89184417724609,1.3285749673843383,30.2113899230957,0.037985585
