candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,flops,grad_norm,fisher,grasp,jacob_cov,jacob_fro,sfrd,snip,synflow
timesnet_classification_uea_el3_dm8_df32_tk7_nk3_0050,timesnet_classification_uea_el3_dm8_df32_tk7_nk3_0050,TimesNet,classification,UEA,5,success,,110276.0,25521686284.0,18.721457099914552,0.03756692782044411,-719.9472518920899,-50.42508939748676,0.15257769227027893,0.5140268921852111,14.819182395935059,15482.8771484375
timesnet_classification_uea_el3_dm64_df128_tk5_nk5_0051,timesnet_classification_uea_el3_dm64_df128_tk5_nk5_0051,TimesNet,classification,UEA,5,success,,8562180.0,2835334172684.0,52.85628128051758,0.0367887020111084,-4679.2448455810545,-58.95652166516635,0.1372102379798889,0.9899917721748352,36.74085807800293,90534.6734375
timesnet_classification_uea_el3_dm32_df64_tk6_nk3_0052,timesnet_classification_uea_el3_dm32_df64_tk6_nk3_0052,TimesNet,classification,UEA,5,success,,655556.0,177462972940.0,31.492190170288087,0.04409889653325081,-1887.033203125,-62.02267646655605,0.16744741499423982,0.8680659770965576,27.135824584960936,38821.634375
timesnet_classification_uea_el1_dm32_df64_tk4_nk8_0053,timesnet_classification_uea_el1_dm32_df64_tk4_nk8_0053,TimesNet,classification,UEA,5,success,,3010660.0,792637288964.0,26.301709365844726,0.020594460889697075,-1245.4881591796875,-56.14593681713309,0.1356351003050804,0.9219365119934082,17.20087776184082,52411.490625
timesnet_classification_uea_el3_dm16_df64_tk5_nk3_0054,timesnet_classification_uea_el3_dm16_df64_tk5_nk3_0054,TimesNet,classification,UEA,5,success,,328068.0,75190535180.0,27.666020965576173,0.04192798435688019,-1620.1032409667969,-56.185263811278446,0.15814860463142394,0.7902647018432617,23.733720588684083,21669.23671875
timesnet_classification_uea_el4_dm32_df64_tk5_nk8_0055,timesnet_classification_uea_el4_dm32_df64_tk5_nk8_0055,TimesNet,classification,UEA,5,success,,11368804.0,3897871637520.0,41.78299522399902,0.05814929455518723,-4776.11513671875,-60.48267231951437,0.14598614275455474,0.8292113184928894,28.656993675231934,61900.7921875
timesnet_classification_uea_el4_dm16_df64_tk2_nk4_0056,timesnet_classification_uea_el4_dm16_df64_tk2_nk4_0056,TimesNet,classification,UEA,5,success,,801716.0,92821263273.6,28.416673469543458,0.047763258963823316,-1421.760415649414,-80.6655696159377,0.15165257453918457,0.7267580986022949,23.935257530212404,35645.7125
timesnet_classification_uea_el4_dm8_df16_tk4_nk3_0057,timesnet_classification_uea_el4_dm8_df16_tk4_nk3_0057,TimesNet,classification,UEA,5,success,,92284.0,10205927696.0,27.430929565429686,0.05847054496407509,-1891.8749389648438,-43.277654125776955,0.11683463156223298,0.8284271597862244,19.483666801452635,12937.790625
timesnet_classification_uea_el1_dm32_df128_tk6_nk7_0058,timesnet_classification_uea_el1_dm32_df128_tk6_nk7_0058,TimesNet,classification,UEA,5,success,,3953092.0,1534113123844.0,31.713990783691408,0.02176578715443611,-2167.584912109375,-75.44056615119565,0.15249402821063995,0.8960999131202698,19.010614013671876,83868.51875
timesnet_classification_uea_el3_dm32_df64_tk7_nk4_0059,timesnet_classification_uea_el3_dm32_df64_tk7_nk4_0059,TimesNet,classification,UEA,5,success,,1257956.0,491274601074.4,30.23236503601074,0.046537797152996066,-2483.8883056640625,-54.73251128912216,0.12826487571001052,0.9613426923751831,21.988286590576173,52866.521875
timesnet_classification_uea_el4_dm8_df16_tk6_nk8_0060,timesnet_classification_uea_el4_dm8_df16_tk6_nk8_0060,TimesNet,classification,UEA,5,success,,753244.0,287304578320.0,18.161594772338866,0.0385463610291481,-616.6976421356201,-73.8088604488717,0.1919185698032379,0.4074098467826843,12.039531230926514,17829.58359375
timesnet_classification_uea_el4_dm32_df128_tk3_nk8_0061,timesnet_classification_uea_el4_dm32_df128_tk3_nk8_0061,TimesNet,classification,UEA,5,success,,22511972.0,4762112338960.0,37.29488983154297,0.049006471037864686,-1875.8876586914062,-58.293812720201416,0.13502952307462693,0.8906425952911377,27.530953216552735,67179.259375
timesnet_classification_uea_el3_dm16_df64_tk4_nk8_0062,timesnet_classification_uea_el3_dm16_df64_tk4_nk8_0062,TimesNet,classification,UEA,5,success,,4292148.0,1188946968332.0,25.54420051574707,0.03473420292139053,-1079.8236083984375,-51.05658101081358,0.14469018578529358,0.818937611579895,17.382703590393067,35982.790625
timesnet_classification_uea_el4_dm8_df32_tk6_nk3_0063,timesnet_classification_uea_el4_dm8_df32_tk6_nk3_0063,TimesNet,classification,UEA,5,success,,128316.0,29612356880.0,16.453665351867677,0.03911208882927895,-636.3766235351562,-38.339029875683636,0.19831635057926178,0.7169587850570679,11.229531478881835,18437.405859375
timesnet_classification_uea_el2_dm32_df64_tk6_nk4_0064,timesnet_classification_uea_el2_dm32_df64_tk6_nk4_0064,TimesNet,classification,UEA,5,success,,913508.0,284651075182.4,35.079786682128905,0.02951088510453701,-2092.7291870117188,-70.66519093174455,0.1670632928609848,0.8214987397193909,26.268364334106444,53267.7484375
timesnet_classification_uea_el3_dm32_df64_tk5_nk5_0065,timesnet_classification_uea_el3_dm32_df64_tk5_nk5_0065,TimesNet,classification,UEA,5,success,,2253572.0,708846094348.0,40.24852752685547,0.04468233808875084,-3151.351190185547,-63.69902721820699,0.15510842204093933,0.970872676372528,29.36642189025879,45613.74140625
timesnet_classification_uea_el4_dm16_df64_tk5_nk6_0066,timesnet_classification_uea_el4_dm16_df64_tk5_nk6_0066,TimesNet,classification,UEA,5,success,,2457140.0,818909842960.0,20.818144035339355,0.04699409380555153,-923.1376403808594,-73.52324531983845,0.1682903528213501,0.6465030908584595,16.135174369812013,30519.566015625
timesnet_classification_uea_el3_dm64_df256_tk4_nk6_0067,timesnet_classification_uea_el3_dm64_df256_tk4_nk6_0067,TimesNet,classification,UEA,5,success,,28569924.0,8000883129356.0,62.100755310058595,0.040904550999403,-7677.548547363282,-62.81340716517777,0.1421958953142166,1.0894056558609009,50.10705642700195,132560.63125
timesnet_classification_uea_el4_dm8_df32_tk2_nk3_0068,timesnet_classification_uea_el4_dm8_df32_tk2_nk3_0068,TimesNet,classification,UEA,5,success,,128316.0,9403956496.0,20.98780918121338,0.04937551096081734,-1460.2266418457032,-66.28820577761346,0.172413232922554,0.6505652904510498,16.518917560577393,23124.2515625
timesnet_classification_uea_el4_dm8_df32_tk3_nk7_0069,timesnet_classification_uea_el4_dm8_df32_tk3_nk7_0069,TimesNet,classification,UEA,5,success,,989116.0,198062828304.0,19.695310020446776,0.0352705679833889,-527.3468597412109,-48.59717937259865,0.18772945404052735,0.696610176563263,14.262569046020507,30625.69453125
timesnet_classification_uea_el1_dm8_df32_tk3_nk6_0070,timesnet_classification_uea_el1_dm8_df32_tk3_nk6_0070,TimesNet,classification,UEA,5,success,,202828.0,30610940164.0,13.980215454101563,0.019588575512170792,-363.56629943847656,-36.504692471373254,0.12286555469036102,0.7300235271453858,7.977664184570313,31557.046484375
timesnet_classification_uea_el4_dm32_df64_tk2_nk5_0071,timesnet_classification_uea_el4_dm32_df64_tk2_nk5_0071,TimesNet,classification,UEA,5,success,,2929892.0,369705284624.0,41.548512649536136,0.04742121994495392,-2255.581750488281,-69.4872800720519,0.14223805367946624,1.0565960884094239,32.38348808288574,36859.52890625
timesnet_classification_uea_el2_dm16_df32_tk8_nk6_0072,timesnet_classification_uea_el2_dm16_df32_tk8_nk6_0072,TimesNet,classification,UEA,5,success,,698612.0,315454725537.6,25.408606910705565,0.044885347783565524,-1860.1367919921875,-60.05992091296865,0.15025942027568817,0.8202221989631653,18.64322853088379,22103.3078125
