candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc3_dtr32_0038,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc3_dtr32_0038,Mamba,short_term_forecast,m4,5,success,,-0.14497592411935328
mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc2_dtr16_0039,mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc2_dtr16_0039,Mamba,short_term_forecast,m4,5,success,,0.11884383298456669
mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr8_0040,mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr8_0040,Mamba,short_term_forecast,m4,5,success,,0.23510594367980958
mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc4_dtr32_0041,mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc4_dtr32_0041,Mamba,short_term_forecast,m4,5,success,,0.14986169934272767
mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc2_dtr16_0042,mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc2_dtr16_0042,Mamba,short_term_forecast,m4,5,success,,-0.3019073039293289
mamba_short_term_forecast_m4_yearly_dm64_df16_expand1_dc3_dtr8_0043,mamba_short_term_forecast_m4_yearly_dm64_df16_expand1_dc3_dtr8_0043,Mamba,short_term_forecast,m4,5,success,,0.2196115091443062
mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc3_dtr8_0044,mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc3_dtr8_0044,Mamba,short_term_forecast,m4,5,success,,-0.39867600202560427
mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc2_dtr8_0045,mamba_short_term_forecast_m4_yearly_dm128_df8_expand1_dc2_dtr8_0045,Mamba,short_term_forecast,m4,5,success,,0.3884755432605743
mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc3_dtr32_0046,mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc3_dtr32_0046,Mamba,short_term_forecast,m4,5,success,,-0.3099528789520264
mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc2_dtr32_0047,mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc2_dtr32_0047,Mamba,short_term_forecast,m4,5,success,,0.33476303815841674
mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc2_dtr16_0048,mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc2_dtr16_0048,Mamba,short_term_forecast,m4,5,success,,0.3593473434448242
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr32_0049,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr32_0049,Mamba,short_term_forecast,m4,5,success,,0.4337342858314514
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc2_dtr8_0050,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc2_dtr8_0050,Mamba,short_term_forecast,m4,5,success,,0.3004113256931305
mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc2_dtr32_0051,mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc2_dtr32_0051,Mamba,short_term_forecast,m4,5,success,,-0.2879005640745163
mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc4_dtr8_0052,mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc4_dtr8_0052,Mamba,short_term_forecast,m4,5,success,,0.4614804804325104
mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc4_dtr8_0053,mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc4_dtr8_0053,Mamba,short_term_forecast,m4,5,success,,0.0364879596978426
mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc4_dtr16_0054,mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc4_dtr16_0054,Mamba,short_term_forecast,m4,5,success,,0.5116830170154572
mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc2_dtr8_0055,mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc2_dtr8_0055,Mamba,short_term_forecast,m4,5,success,,-0.5443481385707856
mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc3_dtr32_0056,mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc3_dtr32_0056,Mamba,short_term_forecast,m4,5,success,,0.33218338489532473
mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc4_dtr16_0057,mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc4_dtr16_0057,Mamba,short_term_forecast,m4,5,success,,0.29866254329681396
mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc2_dtr16_0058,mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc2_dtr16_0058,Mamba,short_term_forecast,m4,5,success,,-0.22982441782951354
mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc3_dtr8_0059,mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc3_dtr8_0059,Mamba,short_term_forecast,m4,5,success,,0.24658069610595704
mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc4_dtr16_0060,mamba_short_term_forecast_m4_yearly_dm128_df12_expand1_dc4_dtr16_0060,Mamba,short_term_forecast,m4,5,success,,-0.3726868867874146
mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc3_dtr16_0061,mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc3_dtr16_0061,Mamba,short_term_forecast,m4,5,success,,-0.27492775321006774
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr32_0062,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr32_0062,Mamba,short_term_forecast,m4,5,success,,-0.4439844787120819
mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc3_dtr32_0063,mamba_short_term_forecast_m4_yearly_dm64_df16_expand2_dc3_dtr32_0063,Mamba,short_term_forecast,m4,5,success,,-0.3256483018398285
mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc3_dtr16_0064,mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc3_dtr16_0064,Mamba,short_term_forecast,m4,5,success,,0.030197353661060335
mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc4_dtr8_0065,mamba_short_term_forecast_m4_yearly_dm64_df12_expand2_dc4_dtr8_0065,Mamba,short_term_forecast,m4,5,success,,-0.1056513860821724
mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc3_dtr8_0066,mamba_short_term_forecast_m4_yearly_dm128_df12_expand2_dc3_dtr8_0066,Mamba,short_term_forecast,m4,5,success,,0.526054447889328
mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr8_0067,mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr8_0067,Mamba,short_term_forecast,m4,5,success,,-0.04510748751927167
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc3_dtr16_0068,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc3_dtr16_0068,Mamba,short_term_forecast,m4,5,success,,-0.27303393483161925
mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc2_dtr32_0069,mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc2_dtr32_0069,Mamba,short_term_forecast,m4,5,success,,-0.022298886021599174
mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc3_dtr8_0070,mamba_short_term_forecast_m4_yearly_dm96_df8_expand2_dc3_dtr8_0070,Mamba,short_term_forecast,m4,5,success,,0.40101739168167116
mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc2_dtr16_0071,mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc2_dtr16_0071,Mamba,short_term_forecast,m4,5,success,,-0.5560280084609985
mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc3_dtr8_0072,mamba_short_term_forecast_m4_yearly_dm128_df8_expand2_dc3_dtr8_0072,Mamba,short_term_forecast,m4,5,success,,-0.37948098182678225
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr16_0073,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr16_0073,Mamba,short_term_forecast,m4,5,success,,-0.019870499894022942
mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc4_dtr16_0074,mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc4_dtr16_0074,Mamba,short_term_forecast,m4,5,success,,-0.372044575214386
mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc4_dtr8_0075,mamba_short_term_forecast_m4_yearly_dm64_df8_expand1_dc4_dtr8_0075,Mamba,short_term_forecast,m4,5,success,,-0.17228905260562896
mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr32_0076,mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr32_0076,Mamba,short_term_forecast,m4,5,success,,0.5488485217094421
mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc3_dtr16_0077,mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc3_dtr16_0077,Mamba,short_term_forecast,m4,5,success,,0.49057347774505616
mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc3_dtr16_0078,mamba_short_term_forecast_m4_yearly_dm64_df8_expand2_dc3_dtr16_0078,Mamba,short_term_forecast,m4,5,success,,-0.13257706463336943
mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc4_dtr16_0079,mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc4_dtr16_0079,Mamba,short_term_forecast,m4,5,success,,-0.373687681555748
mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc4_dtr8_0080,mamba_short_term_forecast_m4_yearly_dm96_df16_expand2_dc4_dtr8_0080,Mamba,short_term_forecast,m4,5,success,,0.2888184547424316
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr8_0081,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc4_dtr8_0081,Mamba,short_term_forecast,m4,5,success,,-0.29217717945575716
