candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd_q001,sfrd_q002,sfrd_q003,sfrd_q004,sfrd_q005
timesnet_classification_uea_el4_dm8_df32_tk3_nk7_0069,timesnet_classification_uea_el4_dm8_df32_tk3_nk7_0069,TimesNet,classification,UEA,5,success,,1.2031302094459533,1.1092103719711304,1.0354872465133667,1.00288006067276,0.9694397449493408
timesnet_classification_uea_el1_dm8_df32_tk3_nk6_0070,timesnet_classification_uea_el1_dm8_df32_tk3_nk6_0070,TimesNet,classification,UEA,5,success,,1.3126399278640748,1.164458978176117,1.0669364213943482,1.008136785030365,0.963059413433075
timesnet_classification_uea_el4_dm32_df64_tk2_nk5_0071,timesnet_classification_uea_el4_dm32_df64_tk2_nk5_0071,TimesNet,classification,UEA,5,success,,1.7229755640029907,1.5894048690795899,1.4982453346252442,1.435691809654236,1.3787293195724488
timesnet_classification_uea_el2_dm16_df32_tk8_nk6_0072,timesnet_classification_uea_el2_dm16_df32_tk8_nk6_0072,TimesNet,classification,UEA,5,success,,1.251476788520813,1.1205910801887513,1.0356083273887635,0.9814884662628174,0.9381747961044311
timesnet_classification_uea_el1_dm64_df128_tk4_nk3_0073,timesnet_classification_uea_el1_dm64_df128_tk4_nk3_0073,TimesNet,classification,UEA,5,success,,1.7632760047912597,1.6231288671493531,1.5255418777465821,1.457627010345459,1.4013721704483033
timesnet_classification_uea_el1_dm16_df32_tk4_nk7_0074,timesnet_classification_uea_el1_dm16_df32_tk4_nk7_0074,TimesNet,classification,UEA,5,success,,1.6273724794387818,1.489140772819519,1.3884948253631593,1.3243003845214845,1.2687180995941163
timesnet_classification_uea_el4_dm8_df32_tk5_nk6_0075,timesnet_classification_uea_el4_dm8_df32_tk5_nk6_0075,TimesNet,classification,UEA,5,success,,1.1679817318916321,1.0693742990493775,0.9930423021316528,0.9580209136009217,0.9232101678848267
timesnet_classification_uea_el4_dm64_df128_tk4_nk5_0076,timesnet_classification_uea_el4_dm64_df128_tk4_nk5_0076,TimesNet,classification,UEA,5,success,,1.7722553253173827,1.6309789657592773,1.5365458011627198,1.470095443725586,1.4127200603485108
timesnet_classification_uea_el3_dm32_df64_tk8_nk6_0077,timesnet_classification_uea_el3_dm32_df64_tk8_nk6_0077,TimesNet,classification,UEA,5,success,,1.5082729816436768,1.3901024103164672,1.2987651824951172,1.2433484554290772,1.193245267868042
timesnet_classification_uea_el3_dm64_df128_tk8_nk5_0078,timesnet_classification_uea_el3_dm64_df128_tk8_nk5_0078,TimesNet,classification,UEA,5,success,,1.802448844909668,1.6652816534042358,1.5708126306533814,1.5067057847976684,1.4498843669891357
timesnet_classification_uea_el1_dm64_df128_tk8_nk6_0079,timesnet_classification_uea_el1_dm64_df128_tk8_nk6_0079,TimesNet,classification,UEA,5,success,,1.6031632900238038,1.4690013885498048,1.3758809328079225,1.312675166130066,1.26043598651886
timesnet_classification_uea_el3_dm64_df256_tk5_nk6_0080,timesnet_classification_uea_el3_dm64_df256_tk5_nk6_0080,TimesNet,classification,UEA,5,success,,1.6877309322357177,1.5363890409469605,1.437133526802063,1.3683199405670166,1.3126847267150878
timesnet_classification_uea_el2_dm16_df64_tk3_nk3_0081,timesnet_classification_uea_el2_dm16_df64_tk3_nk3_0081,TimesNet,classification,UEA,5,success,,1.454892086982727,1.315800166130066,1.220860242843628,1.1600468635559082,1.1110875606536865
timesnet_classification_uea_el1_dm32_df128_tk8_nk6_0082,timesnet_classification_uea_el1_dm32_df128_tk8_nk6_0082,TimesNet,classification,UEA,5,success,,1.661107587814331,1.547584557533264,1.4575504302978515,1.4028618335723877,1.3515120029449463
timesnet_classification_uea_el4_dm64_df128_tk5_nk8_0083,timesnet_classification_uea_el4_dm64_df128_tk5_nk8_0083,TimesNet,classification,UEA,5,success,,1.6194815158843994,1.494885230064392,1.4030593633651733,1.3432336330413819,1.2931539058685302
timesnet_classification_uea_el3_dm64_df128_tk3_nk8_0084,timesnet_classification_uea_el3_dm64_df128_tk3_nk8_0084,TimesNet,classification,UEA,5,success,,1.7314467906951905,1.5901607513427733,1.494362187385559,1.4274372816085816,1.3708876371383667
timesnet_classification_uea_el3_dm64_df128_tk8_nk4_0085,timesnet_classification_uea_el3_dm64_df128_tk8_nk4_0085,TimesNet,classification,UEA,5,success,,1.6849009275436402,1.55296790599823,1.4600570440292358,1.3987822532653809,1.3448517799377442
timesnet_classification_uea_el4_dm16_df32_tk6_nk4_0086,timesnet_classification_uea_el4_dm16_df32_tk6_nk4_0086,TimesNet,classification,UEA,5,success,,1.4784773588180542,1.3452523946762085,1.256939172744751,1.19805006980896,1.1484488725662232
timesnet_classification_uea_el2_dm32_df64_tk3_nk7_0087,timesnet_classification_uea_el2_dm32_df64_tk3_nk7_0087,TimesNet,classification,UEA,5,success,,1.5946547985076904,1.4624732255935669,1.3698573350906371,1.3093304634094238,1.2570238351821899
timesnet_classification_uea_el4_dm16_df64_tk4_nk3_0088,timesnet_classification_uea_el4_dm16_df64_tk4_nk3_0088,TimesNet,classification,UEA,5,success,,1.116040873527527,1.0209933757781982,0.9477441430091857,0.9022953987121582,0.861665916442871
timesnet_classification_uea_el3_dm16_df64_tk6_nk4_0089,timesnet_classification_uea_el3_dm16_df64_tk6_nk4_0089,TimesNet,classification,UEA,5,success,,1.5021302700042725,1.3832138776779175,1.3014621019363404,1.2524578094482421,1.2009959459304809
timesnet_classification_uea_el2_dm64_df256_tk2_nk3_0090,timesnet_classification_uea_el2_dm64_df256_tk2_nk3_0090,TimesNet,classification,UEA,5,success,,1.6648654222488404,1.5129600286483764,1.4150825977325439,1.3471850395202636,1.2894408702850342
timesnet_classification_uea_el4_dm16_df32_tk7_nk3_0091,timesnet_classification_uea_el4_dm16_df32_tk7_nk3_0091,TimesNet,classification,UEA,5,success,,1.4707566738128661,1.333473515510559,1.2394774913787843,1.1812435865402222,1.1310960292816161
timesnet_classification_uea_el4_dm64_df256_tk5_nk7_0092,timesnet_classification_uea_el4_dm64_df256_tk5_nk7_0092,TimesNet,classification,UEA,5,success,,1.7135154724121093,1.580386471748352,1.4861394882202148,1.4230413436889648,1.369152307510376
timesnet_classification_uea_el4_dm8_df16_tk5_nk4_0093,timesnet_classification_uea_el4_dm8_df16_tk5_nk4_0093,TimesNet,classification,UEA,5,success,,1.0386374473571778,0.9594906806945801,0.890641963481903,0.8648683309555054,0.83303142786026
timesnet_classification_uea_el3_dm64_df256_tk4_nk5_0094,timesnet_classification_uea_el3_dm64_df256_tk4_nk5_0094,TimesNet,classification,UEA,5,success,,1.7116046667098999,1.567391848564148,1.4705585479736327,1.4046998739242553,1.3491542339324951
timesnet_classification_uea_el3_dm32_df128_tk2_nk7_0095,timesnet_classification_uea_el3_dm32_df128_tk2_nk7_0095,TimesNet,classification,UEA,5,success,,1.5375329494476317,1.3954881191253663,1.3013687133789062,1.2378473043441773,1.1870805978775025
timesnet_classification_uea_el2_dm8_df32_tk8_nk3_0096,timesnet_classification_uea_el2_dm8_df32_tk8_nk3_0096,TimesNet,classification,UEA,5,success,,0.8143004179000854,0.7214099168777466,0.6601465344429016,0.6330002307891845,0.6069340646266937
timesnet_classification_uea_el2_dm64_df128_tk4_nk5_0097,timesnet_classification_uea_el2_dm64_df128_tk4_nk5_0097,TimesNet,classification,UEA,5,success,,1.7884479284286499,1.6415366649627685,1.5432671308517456,1.4761117219924926,1.4205093860626221
timesnet_classification_uea_el2_dm32_df128_tk2_nk7_0098,timesnet_classification_uea_el2_dm32_df128_tk2_nk7_0098,TimesNet,classification,UEA,5,success,,1.5674102544784545,1.4482943296432496,1.3569949626922608,1.298442006111145,1.245108675956726
timesnet_classification_uea_el1_dm8_df16_tk5_nk3_0099,timesnet_classification_uea_el1_dm8_df16_tk5_nk3_0099,TimesNet,classification,UEA,5,success,,1.0721363306045533,0.9886306285858154,0.9300910949707031,0.8973156571388244,0.866579556465149
timesnet_classification_uea_el1_dm8_df32_tk6_nk4_0100,timesnet_classification_uea_el1_dm8_df32_tk6_nk4_0100,TimesNet,classification,UEA,5,success,,1.2789381980895995,1.1298284769058227,1.0397873401641846,0.9804778218269348,0.941274619102478
