candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow,,mse
Autoformer_000,Autoformer_000,Autoformer,long_term_forecast,custom,5,success,,472584,43.73970413,1989959684,3.329090071,0.287858605,0.124100299,-33.07939758,-182.2878917,41.57671661,1.234793472,30.37057838,34026468.8,,0.159437165
Autoformer_001,Autoformer_001,Autoformer,long_term_forecast,custom,5,success,,154632,33.38975143,645548037,1.621136856,0.322085685,0.071503715,-8.844919395,-898.3381202,58.34847946,1.259501863,13.97664089,38606232,,0.156263128
Autoformer_002,Autoformer_002,Autoformer,long_term_forecast,custom,5,success,,4493320,78.97036743,13803622407,3.210846996,0.414521396,0.054081447,-44.53856812,-236.9477655,39.52763901,1.243965054,76.70568695,1.90E+16,,0.219803348
Autoformer_003,Autoformer_003,Autoformer,long_term_forecast,custom,5,success,,2131976,64.57919312,10674393093,5.501181602,0.349920219,0.136497355,-107.3584946,-280.8798615,43.22672195,1.440796137,87.15411377,2342441267,,0.183866888
Autoformer_004,Autoformer_004,Autoformer,long_term_forecast,custom,5,success,,3182600,73.1202774,13940461575,4.550481892,0.369742018,0.149295661,-67.33630295,-256.0730937,35.14488373,1.475486875,91.75005341,6.35411E+15,,0.16642049
Autoformer_005,Autoformer_005,Autoformer,long_term_forecast,custom,5,success,,669192,46.82504272,1952210948,2.760061121,0.336409259,0.091359937,-25.34020462,-782.5488484,51.31531906,1.340958381,30.94919853,93787305.6,,0.156752214
Autoformer_006,Autoformer_006,Autoformer,long_term_forecast,custom,5,success,,2657288,69.14621735,12430110726,3.952671003,0.325654852,0.110560571,-44.33484497,-878.0931283,42.18343201,1.458075976,64.79961777,1.3151E+11,,0.166821197
Autoformer_007,Autoformer_007,Autoformer,long_term_forecast,custom,5,success,,2649096,65.7122879,7805050884,3.942129898,0.276638591,0.114810359,-43.51074982,-219.1196797,38.79666672,1.22328999,49.27717438,621526297.6,,0.155600518
Autoformer_008,Autoformer_008,Autoformer,long_term_forecast,custom,5,success,,673288,48.83770752,3133870086,2.30703907,0.384675795,0.080602567,-14.77612467,-787.8807608,52.68691635,1.367552233,32.58941765,1.66236E+11,,0.154907987
Autoformer_009,Autoformer_009,Autoformer,long_term_forecast,custom,5,success,,3705864,73.69979095,12430110726,7.426863575,0.361841452,0.459786695,-222.5605713,-244.8563915,36.9961647,2.396024179,140.5308624,2.70844E+12,,0.191189736
Autoformer_010,Autoformer_010,Autoformer,long_term_forecast,custom,5,success,,1337352,56.8314209,6110674947,3.618326902,0.335965174,0.083580148,-44.4989769,-476.141343,52.00850983,1.366470575,45.68927078,87280339.2,,0.154413834
Autoformer_011,Autoformer_011,Autoformer,long_term_forecast,custom,5,success,,2918408,68.51544189,10565865477,4.177898693,0.394460803,0.112755162,-148.3006445,-207.1607701,41.15561752,1.710213947,79.11418915,89707259494,,0.18427448
Autoformer_012,Autoformer_012,Autoformer,long_term_forecast,custom,5,success,,287752,39.60645676,952494087,1.850376177,0.385701066,0.103701584,-11.60609627,-787.0931437,42.74340057,1.426187754,21.59780006,1635602534,,0.164383724
Autoformer_013,Autoformer_013,Autoformer,long_term_forecast,custom,5,success,,935432,52.44859695,3133870086,3.066537619,0.405026108,0.117719008,-33.87437592,-295.4185949,42.79882431,1.650279999,47.47323914,28968651571,,0.195547625
Autoformer_014,Autoformer_014,Autoformer,long_term_forecast,custom,5,success,,121608,31.16661263,497991684,1.592857337,0.323981863,0.078934383,-7.483432102,-519.4851253,56.13665543,1.270239329,12.25303364,12265114.2,,0.154121026
Autoformer_015,Autoformer_015,Autoformer,long_term_forecast,custom,5,success,,4493320,78.97036743,13803622407,2.776978159,0.427137017,0.051235852,-30.92099113,-439.3758554,41.55577927,1.261214781,68.45804291,7.43E+16,,0.170243055
Autoformer_016,Autoformer_016,Autoformer,long_term_forecast,custom,5,success,,3705864,73.69979095,12430110726,4.871965885,0.385034215,0.149015725,-98.67238922,-740.8281388,51.2916069,1.761502528,98.47620697,2.87164E+13,,0.170208499
Autoformer_017,Autoformer_017,Autoformer,long_term_forecast,custom,5,success,,172808,34.78834534,812015622,1.741324759,0.350265676,0.071938026,-9.538589478,-462.0116796,49.11417618,1.467802429,16.26433372,219030396.8,,0.153735131
Autoformer_018,Autoformer_018,Autoformer,long_term_forecast,custom,5,success,,2657288,69.14621735,12307427334,4.135651827,0.349397409,0.11260199,-55.61247559,-911.1239699,42.97464142,1.510652852,72.85582962,7.92398E+11,,0.164001286
Autoformer_019,Autoformer_019,Autoformer,long_term_forecast,custom,5,success,,1132552,55.86660004,3547734023,2.540623093,0.392904556,0.053625517,-22.68189964,-230.3517837,39.42817535,0.985528815,41.33877792,5.54677E+12,,0.160788938
Autoformer_020,Autoformer_020,Autoformer,long_term_forecast,custom,5,success,,170760,33.0970192,497991684,2.764510822,0.359831858,0.136125165,-28.27069855,-83.78049071,41.94173813,1.480615067,24.04329987,11377386,,0.159148738
Autoformer_021,Autoformer_021,Autoformer,long_term_forecast,custom,5,success,,154632,33.38975143,600721413,3.156973457,0.381606483,0.1606168,-40.59377747,-162.5172407,44.40062485,1.676327443,30.24261055,149792684.8,,0.156513453
Autoformer_022,Autoformer_022,Autoformer,long_term_forecast,custom,5,success,,4493320,78.97036743,13803622407,3.210847187,0.414521408,0.054081429,-44.53371506,-236.946657,39.52763596,1.243962455,76.70567627,1.84E+16,,0.208515495
Autoformer_023,Autoformer_023,Autoformer,long_term_forecast,custom,5,success,,804872,51.97501755,3616153607,2.606774139,0.364373833,0.065707054,-25.47483635,-248.0015817,37.53913956,1.259848166,37.44360123,22704688742,,0.168289721
Autoformer_024,Autoformer_024,Autoformer,long_term_forecast,custom,5,success,,541704,45.78585052,2720006149,3.116008234,0.323639202,0.16497373,-25.06202621,-756.9453047,55.39013977,1.306748748,33.53974915,2516498534,,0.168394387
Autoformer_025,Autoformer_025,Autoformer,long_term_forecast,custom,5,success,,287752,39.60645676,918284295,2.79536128,0.39363181,0.164226869,-26.28237381,-149.3603112,32.20082397,1.536503601,33.2089859,138229648,,0.164949581
Autoformer_026,Autoformer_026,Autoformer,long_term_forecast,custom,5,success,,1862664,61.96262741,7805050884,7.176961231,0.304125422,0.263194346,-196.3485168,-158.5030752,43.68564835,1.90379107,93.00846405,90764766.4,,0.159753993
Autoformer_027,Autoformer_027,Autoformer,long_term_forecast,custom,5,success,,205832,36.77005768,884074503,2.001363397,0.40068146,0.105937472,-14.65783329,-520.9321962,52.31528244,1.626062489,23.12048912,2.09983E+12,,0.16579406
Autoformer_028,Autoformer_028,Autoformer,long_term_forecast,custom,5,success,,1132552,55.86660004,3547734023,2.540623808,0.392904562,0.053625546,-22.67784615,-230.3516209,39.42816086,0.985527897,41.33879242,5.20547E+12,,0.160789326
Autoformer_029,Autoformer_029,Autoformer,long_term_forecast,custom,5,success,,604168,47.20355988,2448650245,3.045845842,0.311592442,0.117559616,-29.90275192,-874.8197523,60.26698532,1.280443144,33.59982758,255358908.8,,0.145822108
Autoformer_030,Autoformer_030,Autoformer,long_term_forecast,custom,5,success,,287752,39.60645676,952494087,2.949692249,0.386633205,0.172443795,-31.39206123,-166.2849738,32.03894119,1.521485496,34.34383163,58800805.6,,0.165282562
