candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse
Autoformer_055,Autoformer_055,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256,49.22337723,3.542575432,4.145903492,0.277935493,0.155708575,-50.87314911,-512.0361346,53.58933945,1.654635382,38.30233078,0.057153326,,0.151323169
Autoformer_056,Autoformer_056,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408,68.32644653,7.785830606,3.877860165,0.388817424,0.093969932,-53.74711761,-199.1131175,35.21226044,1.218938422,74.89367676,13188504.11,,0.173370749
Autoformer_057,Autoformer_057,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.529544,45.33251953,1.784199577,4.536920452,0.385129637,0.23218374,-76.70849991,-251.6799401,38.39610291,1.894983697,57.60199127,7.295113523,,0.200692147
Autoformer_058,Autoformer_058,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.342536,40.86125183,1.402396178,2.419677067,0.312535191,0.08827441,-20.29700356,-213.8505464,40.76332245,1.391850829,23.18612251,0.022824323,,0.152583778
Autoformer_059,Autoformer_059,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272,64.10781097,6.873661617,3.775194025,0.408796668,0.137679593,-44.78223648,-816.7112007,59.43753433,1.885571241,71.91912994,58192.99676,,0.163951501
Autoformer_060,Autoformer_060,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.307976,39.89955139,1.50860098,1.726470637,0.412349319,0.061387037,-9.432610321,-357.068193,50.45093765,1.246266246,20.78127861,1.076165197,,0.160346434
Autoformer_061,Autoformer_061,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.534408,68.32644653,7.785830606,3.513752651,0.414866489,0.095024587,-75.27015533,-793.1153992,45.51795578,1.56647954,73.55984192,78733893.07,,0.15981558
Autoformer_062,Autoformer_062,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312,48.44976044,2.720006488,2.6482831,0.385731345,0.114317943,-23.58027382,-663.8690744,59.32042007,1.52673018,35.29107742,3.371136205,,0.149606362
Autoformer_063,Autoformer_063,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288,48.83770752,3.072528561,2.237191892,0.400979608,0.076279014,-16.5545248,-575.1642346,54.08947296,1.377816319,32.79054031,433.1237802,,0.149663121
Autoformer_064,Autoformer_064,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192,46.82504272,2.027708845,3.017165804,0.30260148,0.102454005,-31.48349419,-982.7213211,53.89184418,1.328574967,30.21138992,0.037985585,,0.149924755
Autoformer_065,Autoformer_065,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.604168,47.20355988,2.403823958,2.596126652,0.305258173,0.090834241,-19.27028885,-215.2957311,41.81187057,1.056271732,28.25875092,0.226438499,,0.155207396
Autoformer_066,Autoformer_066,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.052936,53.63167953,4.362731645,3.194037342,0.355036962,0.094428363,-38.7431633,-747.6536843,53.19271927,1.513623452,43.01233063,0.689506842,,0.148282602
Autoformer_067,Autoformer_067,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.4562,44.98391724,2.019100122,2.475386,0.400592411,0.103601918,-14.84772739,-291.7522062,46.06905289,1.539594364,33.95609131,2123.926366,,0.160857841
Autoformer_068,Autoformer_068,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.348616,57.81505203,5.274900634,3.976036835,0.319585359,0.097409873,-49.16685486,-137.6409431,41.32863464,1.104834497,52.93508453,323.7964022,,0.163588509
